"FacilityName","FacilityAddress","Borough","Postcode","Latitude","Longitude","Community Board","Community Council ","Census Tract","BIN","BBL","NTA"
"Engine 53/Ladder 43","1836 Third Avenue","Manhattan","10029","40.788923","-73.946985","111","8","166","1,051,850","1,016,290,040","East Harlem South"
"Engine 91","242 East 111 Street","Manhattan","10029","40.793843","-73.940791","111","8","180","1,052,473","1,016,600,030","East Harlem North"
"Battalion 12/Engine 35/Ladder 14","2282 Third Avenue","Manhattan","10035","40.803297","-73.936522","111","8","196","1,054,465","1,017,730,033","East Harlem North"
"Battalion 11/Engine 76/Ladder 22","145 West 100th St.","Manhattan","10025","40.796449","-73.967261","107","7","189","1,055,910","1,018,550,005","Upper West Side"
"Engine 47","500 West 113 Street","Manhattan","10025","40.804946","-73.962932","109","7","199","1,056,999","1,018,840,038","Morningside Heights"
"Engine 59/Ladder 30","111 West 133 Street","Manhattan","10030","40.813332","-73.94245","110","9","226","1,058,225","1,019,180,024","Central Harlem North-Polo Grounds"
"Engine 37/Ladder 40","415 West 125 Street","Manhattan","10027","40.811921","-73.9546","109","7","20,901","1,059,547","1,019,660,061","Morningside Heights"
"Engine 84/Ladder 34","513 West 161 Street","Manhattan","10032","40.835918","-73.940959","112","7","245","1,062,872","1,021,200,046","Washington Heights South"
"Engine 95/Ladder 36","29 Vermilyea Avenue","Manhattan","10034","40.864897","-73.925154","112","10","291","1,064,801","1,022,240,015","Marble Hill-Inwood"
"Engine 55","363 Broome Street","Manhattan","10013","40.719841","-73.99576","102","1","41","1,066,722","1,004,700,012","SoHo-TriBeCa-Civic Center-Little Italy"
"Rescue 1","530 West 43 Street","Manhattan","10036","40.760727","-73.996616","104","3","129","1,070,109","1,010,710,049","Clinton"
"Engine 39/Ladder 16","157 E 67th St","Manhattan","10065","40.767062","-73.963612","108","4","120","1,072,190","1,014,020,029","Upper East Side-Carnegie Hill"
"Battalion 16/Engine 69/Ladder 28","248 West 143 Street","Manhattan","10030","40.820847","-73.941821","110","9","232","1,075,491","1,020,280,051","Central Harlem North-Polo Grounds"
"Engine 80/Ladder 23","503 West 139 Street","Manhattan","10031","40.821948","-73.950762","109","7","225","1,075,504","1,020,710,027","Hamilton Heights"
"Battalion 13/Engine 93/Ladder 45","515 West 181 Street","Manhattan","10033","40.848722","-73.931662","112","10","269","1,075,518","1,021,550,030","Washington Heights North"
"Engine 10/Ladder 10","124 Liberty Street","Manhattan","10006","40.709819","-74.012608","101","1","13","1,075,700","1,000,520,022","Battery Park City-Lower Manhattan"
"Engine 65","33 West 43 Street","Manhattan","10036","40.754975","-73.981979","105","4","96","1,076,256","1,012,590,018","Midtown-Midtown South"
"Battalion 2/Engine 24/Ladder 5","227 Sixth Avenue","Manhattan","10014","40.728041","-74.003434","102","3","37","1,080,044","1,005,200,037","SoHo-TriBeCa-Civic Center-Little Italy"
"Engine 67","518 West 170 Street","Manhattan","10032","40.841279","-73.937195","112","10","253","1,085,743","1,021,260,035","Washington Heights South"
"Marine 1","20 Rear Bloomfield Street","Manhattan","10014","40.740647","-74.011815","102","3","79","1,086,681","1,006,510,105","West Village"
"Battalion 14/Engine 60/Ladder 17","341 East 143 Street","Bronx","10454","40.813163","-73.922146","201","8","41","2,000,656","2,023,060,052","Mott Haven-Port Morris"
"Squad 41","330 East 150th Street","Bronx","10451","40.817323","-73.92013","201","17","65","2,000,930","2,023,310,033","Melrose South-Mott Haven North"
"Division 6/Engine 71/Ladder 55","720 Melrose Ave.","Bronx","10455","40.820292","-73.915555","201","17","69","2,001,400","2,023,770,001","Melrose South-Mott Haven North"
"Battalion 26/Engine 50/Ladder 19","1155 Washington Ave.","Bronx","10456","40.82971","-73.908118","203","16","185","2,001,584","2,023,880,045","Morrisania-Melrose"
"Engine 68/Ladder 49","1160 Ogden Ave.","Bronx","10452","40.836659","-73.926919","204","16","199","2,003,268","2,025,140,056","Highbridge"
"Engine 83/Ladder 29","618 East 138 Street","Bronx","10454","40.805819","-73.915834","201","8","2,701","2,003,609","2,025,500,028","Mott Haven-Port Morris"
"Battalion 3/Engine 94/Ladder 48","1226 Seneca Ave.","Bronx","10474","40.818581","-73.887778","202","17","11,502","2,006,440","2,027,620,054","Hunts Point"
"Engine 42","1781 Monroe Ave.","Bronx","10457","40.846325","-73.906812","205","15","22,901","2,007,448","2,027,970,035","Mount Hope"
"Engine 43/Ladder 59","1901 Sedgwick Ave.","Bronx","10453","40.854655","-73.917286","205","16","247","2,009,252","2,028,810,140","University Heights-Morris Heights"
"Engine 46/Ladder 27","460 Cross Bronx Expressway","Bronx","10457","40.843919","-73.90016","206","15","165","2,009,509","2,029,070,010","Claremont-Bathgate"
"Bronx Borough Command","453 E 176 Street","Bronx","10457","40.846372","-73.899241","206","15","395","2,009,541","2,029,090,040","Claremont-Bathgate"
"Engine 82/Ladder 31","1215 Intervale Ave.","Bronx","10459","40.828532","-73.895259","203","17","125","2,010,447","2,029,730,038","Morrisania-Melrose"
"Division 7/Engine 48/Ladder 56","2417 Webster Ave.","Bronx","10458","40.859318","-73.893992","205","15","39,902","2,011,061","2,030,250,025","Bedford Park-Fordham North"
"Battalion 18/Engine 45/Ladder 58","925 East Tremont Ave.","Bronx","10460","40.841877","-73.883508","206","17","363","2,013,192","2,031,260,012","East Tremont"
"Battalion 27/Engine 79/Ladder 37","2928 Briggs Ave.","Bronx","10458","40.870279","-73.886581","207","11","40,702","2,016,936","2,032,970,009","Bedford Park-Fordham North"
"Engine 96/Ladder 54","1689 Story Ave.","Bronx","10473","40.822986","-73.869357","209","18","46","2,022,629","2,036,600,001","Soundview-Castle Hill-Clason Point-Harding Park"
"Engine 90/Ladder 41","1843 White Plains Rd.","Bronx","10462","40.846365","-73.8668","211","15","236","2,043,470","2,040,490,049","Van Nest-Morris Park-Westchester Square"
"Battalion 20/Squad 61","1518 Williamsbridge Road","Bronx","10461","40.845048","-73.846393","211","13","200","2,044,205","2,040,820,011","Van Nest-Morris Park-Westchester Square"
"Engine 97","1454 Astor Ave.","Bronx","10469","40.859347","-73.844162","211","13","314","2,050,740","2,043,890,023","Allerton-Pelham Gardens"
"Engine 62/Ladder 32","3431 White Plains Road","Bronx","10467","40.876269","-73.867362","212","12","374","2,056,968","2,046,280,053","Williamsbridge-Olinville"
"Engine 38/Ladder 51","3446 Eastchester Road","Bronx","10469","40.877984","-73.846513","212","12","386","2,060,238","2,047,230,045","Eastchester-Edenwald-Baychester"
"Battalion 15/Engine 63/Ladder 39","755 East 233 Street","Bronx","10466","40.893028","-73.85531","212","12","434","2,068,155","2,049,970,013","Woodlawn-Wakefield"
"Engine 66/Ladder 61","21 Asch Loop","Bronx","10475","40.869725","-73.831197","210","12","46,201","2,072,355","2,051,410,103","Co-op City"
"Engine 89/Ladder 50","2924 Bruckner Blvd.","Bronx","10465","40.833339","-73.827088","210","13","164","2,076,433","2,054,190,125","Schuylerville-Throgs Neck-Edgewater Park"
"Engine 72","3929 East Tremont Ave.","Bronx","10465","40.821311","-73.818248","210","13","130","2,077,258","2,054,430,170","Schuylerville-Throgs Neck-Edgewater Park"
"Engine 70/Ladder 53","169 Schofield Street","Bronx","10464","40.845574","-73.784695","210","13","516","2,082,474","2,056,420,118","Pelham Bay-Country Club-City Island"
"Engine 52/Ladder 52","4550 Henry Hudson Parkway E.","Bronx","10471","40.892118","-73.907656","208","11","335","2,084,327","2,058,130,123","North Riverdale-Fieldston-Riverdale"
"Engine 88/Ladder 38","2225 Belmont Ave.","Bronx","10457","40.851907","-73.887837","206","15","391","2,086,781","2,030,860,038","Belmont"
