"FacilityName","FacilityAddress","Borough","Postcode","Latitude","Longitude","Community Board","Community Council ","Census Tract","BIN","BBL","NTA"
"Engine 332/Ladder 175","165 Bradford st.","Brooklyn","11207","40.675471","-73.892695","305","37","1,198","3,083,579","3,036,910,001","East New York"
"Engine 290/Ladder 103","480 Sheffield Ave.","Brooklyn","11207","40.665123","-73.895447","305","42","1,126","3,084,622","3,038,040,043","East New York (Pennsylvania Ave)"
"Engine 236","998 Liberty Ave.","Brooklyn","11208","40.677748","-73.872797","305","37","1,196","3,094,289","3,041,940,020","East New York"
"Battalion 39/Engine 225/Ladder 107","799 Lincoln Ave.","Brooklyn","11208","40.669446","-73.865383","305","42","1,208","3,095,894","3,042,710,075","East New York"
"Engine 310/Ladder 174","5105 Snyder Ave.","Brooklyn","11203","40.650355","-73.928888","317","41","862","3,102,909","3,046,990,040","Rugby-Remsen Village"
"Engine 249/Ladder 113","491 Rogers Ave.","Brooklyn","11225","40.660257","-73.953293","309","40","800","3,114,990","3,050,330,004","Prospect Lefferts Gardens-Wingate"
"Battalion 41/Engine 248","2900 Snyder Ave.","Brooklyn","11226","40.648746","-73.949987","317","40","824","3,117,400","3,051,110,024","Erasmus"
"Engine 281/Ladder 147","1210 Cortelyou Road","Brooklyn","11218","40.640024","-73.966669","314","40","526","3,118,638","3,051,550,004","Flatbush"
"Engine 255/Ladder 157","1367 Rogers Ave.","Brooklyn","11210","40.636444","-73.95064","314","45","788","3,120,929","3,052,290,009","Flatbush"
"Battalion 48/Engine 240","1307 Prospect Ave.","Brooklyn","11218","40.651175","-73.975574","307","39","504","3,122,838","3,052,850,021","Windsor Terrace"
"Engine 282/Ladder 148","4210 12th Ave.","Brooklyn","11219","40.640182","-73.990752","312","39","224","3,135,859","3,055,970,044","Borough Park"
"Engine 247","1336 60th Street","Brooklyn","11219","40.62802","-73.997775","312","44","192","3,141,309","3,057,190,022","Borough Park"
"Engine 241/Ladder 109","6630 3rd Avenue","Brooklyn","11220","40.638157","-74.025161","310","43","70","3,144,349","3,058,410,040","Bay Ridge"
"Engine 242","9219 5th Ave.","Brooklyn","11209","40.617389","-74.02952","310","43","160","3,155,323","3,061,090,019","Bay Ridge"
"Engine 284/Ladder 149","1157 79th St.","Brooklyn","11228","40.619955","-74.012537","310","43","202","3,161,800","3,062,540,053","Dyker Heights"
"Battalion 42/Engine 243/Ladder 168","8653 18th Ave.","Brooklyn","11214","40.606037","-74.003495","311","47","278","3,166,596","3,063,690,024","Bensonhurst West"
"Engine 250","126 Foster Ave.","Brooklyn","11230","40.627757","-73.97558","314","44","46,201","3,170,273","3,064,990,011","Flatbush"
"Engine 330/Ladder 172","2312 65th Street","Brooklyn","11204","40.612127","-73.979153","311","44","434","3,173,419","3,065,800,006","Bensonhurst East"
"Battalion 33/Engine 276/Ladder 156","1635 E. 14th Street","Brooklyn","11229","40.609365","-73.959131","315","48","554","3,182,420","3,067,770,064","Homecrest"
"Engine 253","2429 86th Street","Brooklyn","11214","40.598957","-73.988518","311","47","298","3,185,381","3,068,590,067","Bensonhurst East"
"Engine 318/Ladder 166","2510 Neptune Ave.","Brooklyn","11224","40.57776","-73.993011","313","47","328","3,188,880","3,070,130,007","Seagate-Coney Island"
"Engine 254/Ladder 153","901 Avenue U","Brooklyn","11223","40.598496","-73.962008","315","47","394","3,192,210","3,071,120,049","Homecrest"
"Battalion 43/Engine 245/Ladder 161","2929 W. 8th Street","Brooklyn","11224","40.576735","-73.97616","313","48","354","3,196,591","3,072,790,290","West Brighton"
"Battalion 58/Engine 257/Ladder 170","1361 Rockaway Parkway","Brooklyn","11236","40.646611","-73.903569","318","42","974","3,229,407","3,081,660,033","Canarsie"
"Engine 323","6405 Avenue N","Brooklyn","11234","40.620133","-73.915859","318","46","69,602","3,235,919","3,083,640,006","Georgetown-Marine Park-Bergen Beach-Mill Basin"
"Engine 309/Ladder 159","1851 E. 48 Street","Brooklyn","11234","40.615256","-73.928169","318","46","672","3,239,495","3,084,880,016","Flatlands"
"Engine 246/Ladder 169","2732 E. 11th Street","Brooklyn","11235","40.584275","-73.959413","315","48","608","3,246,894","3,087,610,038","Sheepshead Bay-Gerritsen Beach-Manhattan Beach"
"Engine 321","2165 Gerritsen Ave.","Brooklyn","11229","40.602267","-73.935188","315","46","638","3,248,186","3,088,170,049","Madison"
"Marine Battlion/Marine 6","Brooklyn Navy Yard Building 292","Brooklyn","11205","40.705184","-73.971631","302","33","543","3,335,122","3,020,230,001","park-cemetery-etc-Brooklyn"
"Battalion 40/Engine 201/Ladder 114","5113 4th Avenue","Brooklyn","11220","40.645405","-74.01318","307","38","78","3,414,005","3,007,990,003","Sunset Park West"
"Rescue 2","1815 Sterling Place","Brooklyn","11233","40.671045","-73.918868","316","41","363","3,421,359","3,014,670,022","Ocean Hill"
"Engine 258/Ladder 115","10-40 47th Ave.","Queens","11101","40.744986","-73.951755","402","26","7","4,000,333","4,000,460,034","Hunters Point-Sunnyside-West Maspeth"
"Engine 325/Ladder 163","41-24 51st Street","Queens","11377","40.745278","-73.913705","402","26","25,302","4,000,979","4,001,310,031","Hunters Point-Sunnyside-West Maspeth"
"Battalion 45/Engine 259/Ladder 128","33-51 Greenpoint Avenue","Queens","11101","40.736398","-73.933203","402","26","199","4,003,673","4,003,070,033","Hunters Point-Sunnyside-West Maspeth"
"Engine 260","11-15 37th Avenue","Queens","11101","40.759679","-73.940085","401","26","85","4,004,305","4,003,520,035","Queensbridge-Ravenswood-Long Island City"
"Ladder 116","37-20 29th Street","Queens","11101","40.755402","-73.933266","401","26","51","4,004,505","4,003,700,023","Queensbridge-Ravenswood-Long Island City"
"Engine 262","30-89 21st Street","Queens","11102","40.767526","-73.929232","401","22","79","4,006,338","4,005,510,016","Old Astoria"
"Engine 263/Ladder 117","42-06, 42-08 Astoria Blvd. South","Queens","11103","40.768225","-73.908849","401","22","141","4,011,565","4,006,880,017","Astoria"
"Battalion 49/Engine 312","22-63 35th St.","Queens","11105","40.773444","-73.910434","401","22","117","4,016,405","4,008,220,007","Steinway"
"Engine 307/Ladder 154","81-17 Northern Blvd.","Queens","11372","40.755804","-73.885639","403","25","327","4,026,949","4,011,770,036","Jackson Heights"
"Engine 289/Ladder 138","97-28 43rd Avenue","Queens","11368","40.74617","-73.865316","404","21","409","4,040,712","4,016,280,018","North Corona"
"Engine 316","27-12 Kearney Street","Queens","11369","40.762427","-73.869022","403","21","367","4,041,276","4,016,580,005","East Elmhurst"
"Division 14/Engine 324","108-01 Horace Harding Exp.","Queens","11368","40.737914","-73.851944","404","21","43,701","4,048,310","4,019,640,065","Corona"
"Engine 292/Rescue 4","64-18 Queens Blvd.","Queens","11377","40.740771","-73.900987","402","26","245","4,053,652","4,023,250,037","Woodside"
"Squad 288","56-29 68th Street","Queens","11378","40.726096","-73.896235","405","30","511","4,055,348","4,023,950,004","Maspeth"
"Battalion 46/Engine 287/Ladder 136","86-53 Grand Avenue","Queens","11373","40.736454","-73.878888","404","25","475","4,057,367","4,024,770,026","Elmhurst"
"Engine 305/Ladder 151","111-02 Queens Blvd.","Queens","11375","40.718186","-73.837707","406","29","76,901","4,078,827","4,032,940,020","Forest Hills"
"Engine 286/Ladder 135","66-44 Myrtle Avenue","Queens","11385","40.701217","-73.886656","405","30","629","4,090,228","4,037,000,021","Glendale"
"Engine 319","78-11 67th Road","Queens","11379","40.712579","-73.874942","405","30","621","4,091,550","4,037,760,056","Middle Village"
"Engine 297/Ladder 130","119-11 14th Road","Queens","11356","40.784923","-73.848081","407","19","929","4,098,032","4,040,540,017","College Point"
"Engine 295/Ladder 144","12-49 149th Street","Queens","11357","40.78898","-73.815949","407","19","981","4,102,462","4,045,050,007","Whitestone"
"Engine 273/Ladder 129","40-18 Union Street","Queens","11354","40.759869","-73.82657","407","20","853","4,113,561","4,050,190,066","Flushing"
"Battalion 52/Engine 274","41-20 Murray Street","Queens","11355","40.762498","-73.812648","407","20","1,167","4,114,925","4,050,580,037","Murray Hill"
"Engine 320/Ladder 167","36-18 Francis Lewis Blvd.","Queens","11358","40.763311","-73.786997","411","19","1,139","4,120,143","4,053,190,008","Auburndale"
"Engine 306","40-18 214th Place","Queens","11361","40.763944","-73.769678","411","19","1,123","4,138,284","4,062,880,032","Bayside-Bayside Hills"
"Engine 315/Ladder 125","159-06 Union Turnpike","Queens","11366","40.720109","-73.807759","408","24","1,265","4,148,377","4,068,540,028","Pomonok-Flushing Heights-Hillcrest"
"Engine 299/Ladder 152","61-20 Utopia Parkway","Queens","11365","40.738158","-73.793385","408","24","1,341","4,148,798","4,068,910,003","Fresh Meadows-Utopia"
"Battalion 53/Engine 326/Ladder 160","64-04 Springfield Blvd.","Queens","11364","40.747005","-73.75597","411","23","1,367","4,162,454","4,076,210,012","Oakland Gardens"
"Engine 313/Ladder 164","44-01 244th Street","Queens","11363","40.76677","-73.742328","411","19","1,479","4,168,901","4,081,120,192","Douglas Manor-Douglaston-Little Neck"
"Engine 251","254-20 Union Turnpike","Queens","11004","40.744476","-73.716081","413","23","157,902","4,177,508","4,086,910,013","Glen Oaks-Floral Park-New Hyde Park"
"Engine 293","89-40 87th Street","Queens","11421","40.688614","-73.855934","409","32","8","4,185,536","4,089,680,025","Woodhaven"
"Engine 285/Ladder 142","103-17 98th Street","Queens","11417","40.682524","-73.84186","410","32","4,002","4,189,682","4,091,210,072","Ozone Park"
"Engine 294/Ladder 143","101-02 Jamaica Avenue","Queens","11418","40.694829","-73.846238","409","32","28","4,194,106","4,092,860,006","Richmond Hill"
"Division 13/Squad 270","91-45 121st Street","Queens","11418","40.695297","-73.825876","409","29","14,202","4,196,913","4,093,750,007","Richmond Hill"
"Battalion 51/Engine 308","107-12 Lefferts Blvd.","Queens","11419","40.683905","-73.823361","410","28","106","4,205,407","4,095,980,010","South Ozone Park"
"Battalion 50/Engine 298/Ladder 127","153-11 Hillside Avenue","Queens","11432","40.707617","-73.804199","408","24","236","4,207,481","4,097,060,066","Briarwood-Jamaica Hills"
"Engine 303/Ladder 126","104-12 Princeton Street","Queens","11435","40.693527","-73.806938","412","28","204","4,214,846","4,100,460,014","Jamaica"
"Engine 275/Ladder 133","111-36 Merrick Blvd.","Queens","11433","40.693448","-73.781107","412","27","266","4,217,371","4,102,080,045","South Jamaica"
"Engine 301/Ladder 150","91-04 197th Street","Queens","11423","40.714467","-73.763078","412","23","484","4,222,434","4,104,640,025","Hollis"
"Engine 304/Ladder 162","218-44 97th Avenue","Queens","11429","40.716907","-73.735945","413","27","568","4,230,875","4,107,700,023","Queens Village"
"Engine 302/Ladder 155","143-15 Rockaway Blvd.","Queens","11436","40.674054","-73.795083","412","28","182","4,261,544","4,120,460,002","Baisley Park"
"Battalion 54/Engine 317/Ladder 165","117-11 196th Street","Queens","11412","40.693122","-73.755649","412","27","394","4,271,743","4,126,170,040","St. Albans"
"Engine 311/Ladder 158","145-50 Springfield Blvd.","Queens","11413","40.663608","-73.759838","413","31","320","4,286,093","4,133,610,200","Springfield Gardens South-Brookville"
"Engine 314","142-04 Brookville Blvd.","Queens","11422","40.664034","-73.740698","413","31","654","4,287,743","4,135,380,015","Rosedale"
"Engine 331/Ladder 173","158-57 Cross Bay Blvd.","Queens","11414","40.659245","-73.839515","410","32","892","4,295,071","4,141,630,101","Lindenwood-Howard Beach"
"Engine 268/Ladder 137","257 Beach 116th Street","Queens","11694","40.580747","-73.838055","414","32","93,402","4,304,442","4,162,120,017","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel"
"Engine 329","402 B. 169 Street","Queens","11695","40.566009","-73.881526","484","32","918","4,307,098","4,163,250,300","park-cemetery-etc-Queens"
"Engine 266","92-20 Rockaway Beach Blvd.","Queens","11693","40.586283","-73.816238","414","32","94,202","4,439,014","4,161,270,001","Hammels-Arverne-Edgemere"
"Engine 291/Ladder 140","56-07 Metropolitan Avenue","Queens","11385","40.713082","-73.906674","405","30","595","4,440,960","4,026,460,018","Ridgewood"
"Engine 264/Engine 328/Ladder 134","16-15, 16-17, 16-19 Central Ave.","Queens","11691","40.604819","-73.75213","414","31","103,202","4,529,057","4,155,590,025","Far Rockaway-Bayswater"
"Queens Borough Command","420A Weaver Ave","Queens","11359","40.793268","-73.776297","407","19","999","4,538,413","4,059,170,001","Ft. Totten-Bay Terrace-Clearview"
"Battalion 47/Engine 265/Ladder 121","48-06 Rockaway Beach Blvd","Queens","11691","40.593539","-73.779164","414","31","97,204","4,539,800","4,158,400,001","Hammels-Arverne-Edgemere"
"Engine 155/Ladder 78","14 Brighton Avenue","Staten Island","10301","40.637547","-74.087694","501","49","77","5,002,472","5,001,030,020","West New Brighton-New Brighton-St. George"
"Battalion 22/Ladder 79","1189 Castleton Avenue","Staten Island","10310","40.634384","-74.122039","501","49","13,302","5,005,308","5,001,980,136","West New Brighton-New Brighton-St. George"
"Engine 156","412 Broadway","Staten Island","10310","40.630985","-74.116719","501","49","125","5,005,815","5,002,170,050","West New Brighton-New Brighton-St. George"
"Engine 163/Ladder 83","875 Jewett Avenue","Staten Island","10314","40.615247","-74.130815","501","50","151","5,010,816","5,003,770,018","Westerleigh"
"Engine 153/Ladder 77","74 Broad Street","Staten Island","10304","40.625033","-74.077692","501","49","27","5,013,836","5,005,290,009","Stapleton-Rosebank"
"Engine 165/Ladder 85","3067 Richmond Road","Staten Island","10306","40.576077","-74.123714","502","50","181","5,023,532","5,009,490,001","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill"
"Engine 157/Ladder 80","1573 Castleton Avenue","Staten Island","10302","40.636191","-74.135394","501","49","207","5,025,442","5,010,800,002","Port Richmond"
"Engine 158","65 Harbor Road","Staten Island","10303","40.635265","-74.160052","501","49","223","5,027,755","5,012,270,025","Mariner's Harbor-Arlington-Port Ivory-Graniteville"
"Engine 166/Ladder 86","1400 Richmond Avenue","Staten Island","10314","40.614264","-74.158172","502","50","29,104","5,031,692","5,016,120,005","New Springville-Bloomfield-Travis"
"Staten Island Borough Command/Squad 8","3730 Victory Boulevard","Staten Island","10314","40.59793","-74.180532","502","50","29,102","5,041,882","5,026,650,025","New Springville-Bloomfield-Travis"
"Battalion 21/Engine 152","256 Hylan Blvd.","Staten Island","10305","40.611716","-74.070475","501","49","8","5,042,846","5,028,560,015","Stapleton-Rosebank"
"Engine 161/Ladder 81","278 McClean Avenue","Staten Island","10305","40.596763","-74.069879","502","50","74","5,045,654","5,031,080,025","Grasmere-Arrochar-Ft. Wadsworth"
"Division 8/Engine 160/Rescue 5","1850 Clove Road","Staten Island","10304","40.60732","-74.089242","502","50","50","5,046,179","5,031,530,038","Grasmere-Arrochar-Ft. Wadsworth"
"Engine 159","1592 Richmond Road","Staten Island","10304","40.590714","-74.100608","502","50","9,602","5,048,682","5,033,060,008","Old Town-Dongan Hills-South Beach"
"Battalion 23/Engine 162/Ladder 82","256 Nelson Ave.","Staten Island","10308","40.543104","-74.147405","503","51","15,601","5,067,428","5,052,710,031","Great Kills"
"Engine 167/Ladder 87","345 Annadale Road","Staten Island","10312","40.554191","-74.175479","503","51","17,012","5,075,428","5,056,420,006","Annadale-Huguenot-Prince's Bay-Eltingville"
"Engine 164/Ladder 84","1560 Drumgoole Road West","Staten Island","10312","40.535418","-74.196059","503","51","20,804","5,083,491","5,068,280,065","Rossville-Woodrow"
"Engine 151/Ladder 76","7219 Amboy Road","Staten Island","10307","40.512739","-74.23895","503","51","248","5,089,056","5,080,400,010","Charleston-Richmond Valley-Tottenville"
"Engine 168","1100 Rossville Ave","Staten Island","10309","40.553942","-74.213083","503","51","20,801","5,154,879","5,070,670,252","Rossville-Woodrow"
"Marine 9","305 Front Street","Staten Island","10304","40.629954","-74.07243","501","49","21","5,169,276","5,004,870,100","Stapleton-Rosebank"
